episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
286000,12206.2,272610.3,406668,243905,99.7500,99.2000,97.5000,93.5000,71.1000,0.0000,218588.41,397.53,0,0,0
288000,12291.4,268247.3,536300,243896,99.8500,99.2500,97.6000,92.7000,69.1500,0.1500,219168.22,396.47,0,0,0
290000,12378.7,272909.1,509208,243872,99.8500,99.4500,97.8500,94.0000,70.8500,0.0500,218461.13,401.12,0,0,0
292000,12465.1,271722.6,568352,243858,99.8500,99.5000,97.8500,93.3500,71.2000,0.1000,218773.08,400.17,0,0,0
294000,12551.7,276643.5,572728,243870,99.9000,99.5000,98.2500,94.4500,72.5000,0.1500,218234.47,399.06,0,0,0
296000,12638.2,272187.2,571796,243856,99.8000,99.0000,97.8000,93.6500,71.0500,0.1000,218698.55,399.63,0,0,0
298000,12724.5,270957.9,513272,243841,99.6000,98.8000,97.1500,92.7000,70.6000,0.0500,218742.67,399.58,0,0,0
300000,12809.9,268773.5,532892,243832,99.8000,99.3000,97.1500,92.9500,69.9000,0.0500,219193.16,397.25,0,0,0
302000,12896.3,270854.0,570640,243814,99.9000,99.7000,97.9000,93.5500,70.2000,0.1500,218699.20,404.19,0,0,0
304000,12982.9,271079.6,386928,243794,99.6000,99.0000,97.3000,93.1500,70.6000,0.0000,218816.85,399.92,0,0,0
306000,13066.7,265511.1,386792,243799,99.8500,99.4500,97.2500,91.7500,68.5500,0.0000,219254.26,401.25,0,0,0
308000,13152.6,270233.3,533904,243786,99.9500,99.5500,97.5500,92.6500,71.0500,0.1000,219074.91,399.18,0,0,0
310000,13238.6,271619.6,504404,243782,99.8000,99.3000,97.1500,92.7000,70.7000,0.1000,218699.47,399.07,0,0,0
312000,13324.9,274764.9,387132,243790,99.8500,99.4000,98.2500,94.4000,72.2000,0.0000,218949.52,396.67,0,0,0
314000,13410.8,274326.2,487656,243800,99.8500,99.6000,97.8500,93.4500,71.5000,0.1000,218565.93,397.65,0,0,0
316000,13496.1,273654.7,386944,243818,99.7500,99.2000,97.6000,93.0500,72.2500,0.0000,218612.72,398.44,0,0,0
318000,13581.4,270971.1,509372,243823,99.9500,99.4000,97.6000,93.6500,70.6500,0.0500,219155.40,398.68,0,0,0
