episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
270000,1740.6,87787.5,262980,445710,99.7500,96.5500,79.0000,23.3000,0.1000,0.0000,40164.80,244.38,0,0,0
272000,1758.7,88896.5,259852,445673,99.8500,96.7000,79.1000,25.3500,0.1000,0.0000,40253.21,246.05,0,0,0
274000,1777.0,89745.5,212940,445606,99.5500,96.3500,81.0000,25.2500,0.0000,0.0000,40461.99,245.32,0,0,0
276000,1794.8,89520.5,232908,445677,99.8000,97.0000,80.3000,25.5000,0.1500,0.0000,40740.66,246.14,0,0,0
278000,1812.5,89898.7,277488,445767,99.8000,96.9000,81.1000,25.7500,0.3000,0.0000,40926.35,247.14,0,0,0
280000,1829.9,88896.5,233420,445896,99.7500,96.1500,79.6500,25.2000,0.1000,0.0000,41161.12,247.14,0,0,0
282000,1847.6,88985.3,277324,445961,99.8000,96.6000,79.1500,25.7000,0.3000,0.0000,41373.58,247.52,0,0,0
284000,1865.5,88631.2,212708,445951,99.7500,96.2500,79.3500,25.4500,0.0000,0.0000,41607.66,246.92,0,0,0
286000,1883.5,90339.4,261404,445989,99.8000,96.5500,79.6000,27.8000,0.3000,0.0000,41671.74,249.93,0,0,0
288000,1901.5,89769.0,262160,445999,99.7500,96.2500,81.7000,25.9500,0.1500,0.0000,42018.37,248.41,0,0,0
290000,1920.1,92061.0,261976,445971,99.8500,97.8500,82.6000,27.9000,0.3000,0.0000,42024.47,250.82,0,0,0
292000,1938.8,91237.9,282056,445856,99.8500,97.0000,80.5500,28.4500,0.2500,0.0000,42306.80,249.71,0,0,0
294000,1957.0,90876.3,290192,445880,99.7000,97.2500,81.1000,27.5500,0.2500,0.0000,42500.66,249.86,0,0,0
296000,1975.2,92031.7,222920,445927,99.7500,97.4000,82.6000,28.3000,0.0500,0.0000,42623.91,251.92,0,0,0
298000,1993.4,90310.7,247632,445918,99.9000,96.8000,80.2000,26.9000,0.1500,0.0000,43026.43,250.10,0,0,0
300000,2012.2,92584.3,270948,445860,99.7000,97.1500,81.5500,28.9500,0.1500,0.0000,43048.50,250.66,0,0,0
302000,2030.2,91501.7,262936,445942,99.9500,97.5000,80.5000,28.0000,0.3500,0.0000,43346.81,251.91,0,0,0
304000,2047.8,91513.6,268108,446103,99.7000,97.5000,80.9500,28.3000,0.2000,0.0000,43617.80,250.46,0,0,0
306000,2066.3,93267.6,225564,446142,99.7000,96.8500,81.6500,30.7500,0.0500,0.0000,43669.50,251.32,0,0,0
308000,2085.0,93818.4,261316,446156,99.8000,97.4000,82.2000,29.9500,0.1500,0.0000,43860.55,251.85,0,0,0
310000,2102.9,93885.8,267128,446331,99.7000,96.7500,82.8000,29.4500,0.3000,0.0000,44109.37,251.01,0,0,0
312000,2120.5,92148.4,261248,446501,99.7500,97.3000,80.8500,30.1500,0.2500,0.0000,44368.53,252.68,0,0,0
314000,2138.4,94279.5,248644,446683,99.7500,96.6500,81.9500,32.5500,0.1500,0.0000,44453.46,253.16,0,0,0
316000,2156.4,94938.6,249980,446870,99.8000,96.5500,81.4500,33.4000,0.3000,0.0000,44616.46,252.91,0,0,0
318000,2174.1,94784.7,264816,447088,99.8500,97.2000,80.9500,33.4000,0.3000,0.0000,44823.35,254.85,0,0,0
320000,2191.9,93967.2,255668,447276,99.7000,97.5000,81.0000,32.2500,0.4000,0.0000,45078.41,254.79,0,0,0
322000,2210.0,95237.4,255680,447428,99.8000,96.6500,81.6500,33.4500,0.2500,0.0000,45114.70,255.82,0,0,0
324000,2228.1,94562.2,290888,447567,99.7500,96.6500,81.5500,31.9000,0.3500,0.0000,45424.70,254.42,0,0,0
326000,2247.0,95653.3,272744,447589,99.9000,97.2500,82.6000,33.3500,0.4000,0.0000,45640.64,253.52,0,0,0
328000,2265.8,96667.5,307084,447648,99.5000,97.1500,84.0500,33.8000,0.3500,0.0000,45771.08,255.21,0,0,0
330000,2284.6,95822.5,258016,447699,99.7500,96.7500,81.7000,33.1000,0.4500,0.0000,45952.44,254.09,0,0,0
332000,2303.4,95998.7,292048,447738,99.7500,97.2500,82.3500,34.0000,0.3500,0.0000,46209.46,254.24,0,0,0
334000,2321.7,95607.3,283196,447851,99.7000,96.7500,81.8500,33.3000,0.5000,0.0000,46335.94,255.82,0,0,0
336000,2340.1,98032.7,266420,448018,99.5000,97.0500,82.1500,36.5000,0.6500,0.0000,46404.97,257.22,0,0,0
338000,2358.5,98060.1,291848,448195,99.8500,97.1000,83.7500,36.5000,0.5000,0.0000,46598.60,258.16,0,0,0
340000,2377.2,96773.4,290492,448282,99.6500,97.1500,82.5500,33.9000,0.5500,0.0000,46868.82,258.26,0,0,0
342000,2396.5,96251.7,274140,448236,99.8500,96.8500,82.8500,33.7500,0.3500,0.0000,47152.60,256.59,0,0,0
344000,2416.0,98176.4,262560,448200,99.9500,97.7000,83.0500,35.5000,0.6500,0.0000,47197.81,257.44,0,0,0
346000,2435.7,97849.3,270816,448139,99.7000,96.9500,82.4500,35.6500,0.6500,0.0000,47364.95,259.77,0,0,0
348000,2455.0,98235.7,274208,448145,99.7000,97.4500,83.1500,35.3000,0.6500,0.0000,47607.43,258.16,0,0,0
350000,2473.8,96066.8,288784,448167,99.6500,96.5500,82.2000,33.6000,0.6500,0.0000,47921.36,258.83,0,0,0
352000,2492.8,97906.2,302576,448229,99.9000,97.1000,82.3000,36.4000,0.5000,0.0000,47901.08,259.91,0,0,0
354000,2511.5,98124.4,265848,448346,99.7000,97.5500,83.3500,35.8500,0.6000,0.0000,48131.70,258.79,0,0,0
356000,2530.4,99819.7,301336,448467,99.9000,97.6000,84.5500,37.3000,0.7000,0.0000,48198.07,260.43,0,0,0
358000,2549.0,99471.0,292040,448628,99.6500,97.3000,83.3500,38.0500,0.6500,0.0000,48388.63,260.61,0,0,0
360000,2567.9,99810.2,265664,448747,99.7500,97.2000,84.9000,37.2000,0.6000,0.0000,48661.61,259.32,0,0,0
362000,2587.0,99711.6,282688,448829,99.9000,97.5000,83.6500,36.7000,0.9000,0.0000,48807.12,258.37,0,0,0
364000,2606.0,99553.9,271976,448919,99.5000,96.8500,84.4000,37.4500,0.6500,0.0000,49063.88,257.67,0,0,0
366000,2625.4,100699.6,266312,448977,99.8500,97.2000,83.7500,39.0000,0.6500,0.0000,49074.38,261.05,0,0,0
368000,2645.3,103367.3,290628,449014,99.8000,97.7000,85.0000,41.2000,1.0000,0.0000,49160.33,261.18,0,0,0
370000,2664.9,101822.8,280056,449072,99.8000,97.4500,84.0500,39.3500,0.7500,0.0000,49486.97,259.82,0,0,0
372000,2684.9,102287.4,291924,449071,99.6000,97.0000,84.2500,40.0500,1.0500,0.0000,49470.09,263.70,0,0,0
374000,2704.9,101581.7,286812,449040,99.7000,97.3500,83.3000,39.2000,1.2500,0.0000,49790.41,261.35,0,0,0
376000,2725.3,103622.0,292048,449020,99.8500,97.6000,84.4000,41.1500,1.1000,0.0000,49877.18,261.54,0,0,0
378000,2745.0,101871.9,272524,449042,99.8000,97.8000,85.5500,39.4000,0.8000,0.0000,50307.42,259.54,0,0,0
380000,2764.9,103423.1,268968,449099,99.7000,97.6500,85.3500,41.6000,0.8500,0.0000,50323.06,261.79,0,0,0
382000,2784.8,102149.1,290720,449109,99.9000,97.7000,84.1500,40.3500,0.8000,0.0000,50534.71,261.81,0,0,0
384000,2804.6,101312.4,286480,449093,99.6000,96.9000,83.5000,39.6500,1.1000,0.0000,50688.07,264.14,0,0,0
386000,2824.3,101825.9,265280,449126,99.7000,97.1000,84.5000,39.8500,1.0000,0.0000,50886.83,263.10,0,0,0
388000,2844.4,104211.9,285448,449154,99.7500,98.1000,85.4000,42.0500,1.1500,0.0000,50911.26,263.15,0,0,0
390000,2864.1,104101.5,290080,449242,99.7500,97.6500,84.3000,42.3500,1.7000,0.0000,51162.89,263.71,0,0,0
392000,2883.2,103120.4,289540,449385,99.8500,97.4000,84.5500,42.2000,1.1000,0.0000,51337.12,264.00,0,0,0
394000,2903.1,102995.9,273836,449420,99.8000,97.5000,85.3000,42.4000,0.8000,0.0000,51556.91,263.18,0,0,0
396000,2923.0,103865.3,279432,449455,99.8500,97.5000,84.6000,41.4000,1.2500,0.0000,51710.04,264.13,0,0,0
398000,2943.6,104263.6,295508,449405,99.6000,97.4500,85.0500,43.5500,0.9500,0.0000,51736.08,265.44,0,0,0
400000,2963.7,102375.3,291984,449390,99.6500,97.5500,84.6500,40.6000,1.1500,0.0000,52095.66,265.04,0,0,0
402000,2984.1,103288.5,297636,449347,99.9500,97.2500,84.3500,41.3500,1.4000,0.0000,52197.03,266.09,0,0,0
404000,3004.2,103985.6,294276,449355,99.9000,98.0000,84.6500,42.1000,1.5500,0.0000,52384.95,265.85,0,0,0
406000,3024.1,105199.6,281736,449434,99.8000,97.5000,85.6000,43.7500,0.7000,0.0000,52406.05,266.25,0,0,0
408000,3044.3,106095.2,290212,449499,99.7500,97.8000,86.5500,44.2000,0.9000,0.0000,52577.96,265.73,0,0,0
410000,3064.6,105311.6,294096,449517,99.8500,97.0000,86.4000,43.8000,1.3500,0.0000,52942.13,263.19,0,0,0
412000,3085.0,104540.5,291936,449505,99.7000,97.2000,84.8500,41.3000,1.6000,0.0000,52998.10,266.36,0,0,0
414000,3105.8,107074.8,290544,449487,99.7500,98.1000,86.4000,44.5500,1.9500,0.0000,53017.73,267.43,0,0,0
