score,max_tile,moves
168436,8192,7019
123940,8192,5126
244896,16384,9241
310420,16384,11461
342968,16384,13049
279604,16384,10606
342496,16384,13031
328868,16384,12353
78844,4096,3629
339652,16384,12837
315852,16384,11826
176548,8192,7396
366632,16384,13950
326500,16384,12247
382452,16384,14571
378268,16384,14439
128464,8192,5395
281200,16384,10683
381284,16384,14540
354052,16384,13245
322616,16384,12090
362828,16384,13757
383060,16384,14608
290432,16384,11171
313996,16384,11666
284932,16384,10876
174600,8192,7282
226816,16384,8433
175720,8192,7368
342920,16384,13019
376104,16384,14298
290416,16384,11163
286632,16384,10968
177244,8192,7451
368144,16384,14068
322820,16384,12091
83716,4096,3889
375592,16384,14235
283864,16384,10755
85780,4096,3989
133724,8192,5655
176448,8192,7371
177252,8192,7443
372828,16384,14090
157392,8192,6575
80276,4096,3710
177296,8192,7462
130600,8192,5433
176864,8192,7425
69644,4096,3140
127948,8192,5283
71628,4096,3284
155836,8192,6467
312932,16384,11589
326644,16384,12287
361512,16384,13654
245996,16384,9318
333816,16384,12541
320968,16384,11950
173280,8192,7214
176364,8192,7382
177248,8192,7447
352432,16384,13131
371556,16384,14030
363276,16384,13746
380820,16384,14527
289900,16384,11109
176644,8192,7396
161160,8192,6753
362888,16384,13705
289824,16384,11139
357316,16384,13603
335176,16384,12672
16052,1024,938
113020,8192,4687
80692,4096,3735
372564,16384,14079
337732,16384,12763
175388,8192,7313
377184,16384,14329
367260,16384,13988
382912,16384,14636
290496,16384,11184
381140,16384,14528
366404,16384,13920
284048,16384,10773
341200,16384,12915
174964,8192,7319
363152,16384,13726
11416,1024,685
341112,16384,12894
124316,8192,5158
130672,8192,5467
343472,16384,13034
333460,16384,12533
177228,8192,7443
333080,16384,12490
322392,16384,12038
381336,16384,14550
317928,16384,11898
278000,16384,10524
333344,16384,12540
12856,1024,766
246160,16384,9332
360856,16384,13585
327104,16384,12277
166108,8192,6839
287988,16384,11005
249720,16384,9464
340856,16384,12910
341276,16384,12917
364544,16384,13772
136856,8192,5830
168312,8192,7004
281676,16384,10705
360476,16384,13535
339180,16384,12791
132112,8192,5507
173196,8192,7203
378264,16384,14449
261760,16384,9808
333792,16384,12584
79464,4096,3650
525224,32768,18200
342024,16384,12925
338728,16384,12778
277600,16384,10481
318508,16384,11831
80604,4096,3754
380912,16384,14551
342024,16384,12968
332284,16384,12479
361952,16384,13668
378064,16384,14430
358348,16384,13538
371916,16384,14015
362680,16384,13721
124060,8192,5115
164372,8192,6745
130816,8192,5482
378360,16384,14413
177340,8192,7469
363516,16384,13774
338316,16384,12754
360872,16384,13578
358148,16384,13506
77200,4096,3560
376396,16384,14334
323316,16384,12122
289620,16384,11092
145960,8192,5956
310748,16384,11494
172916,8192,7199
342916,16384,13067
133028,8192,5591
269984,16384,10196
177260,8192,7444
364780,16384,13819
380836,16384,14489
172960,8192,7143
176540,8192,7393
177452,8192,7465
341032,16384,12906
177704,8192,7516
381176,16384,14605
171256,8192,7070
290536,16384,11192
299796,16384,11265
358276,16384,13487
380332,16384,14445
285668,16384,10905
338200,16384,12742
36124,2048,1859
382616,16384,14631
237608,16384,8890
363840,16384,13744
281708,16384,10730
373528,16384,14083
365076,16384,13803
337424,16384,12724
321976,16384,12058
285844,16384,10916
285964,16384,10867
377100,16384,14321
152268,8192,6451
284608,16384,10796
226316,16384,8402
285520,16384,10862
361440,16384,13587
376124,16384,14239
133260,8192,5618
342256,16384,12992
222608,16384,8159
381708,16384,14590
177624,8192,7462
355620,16384,13320
381148,16384,14465
342780,16384,13034
131648,8192,5523
177264,8192,7450
366516,16384,13931
367120,16384,14019
365616,16384,13838
334024,16384,12593
363236,16384,13748
352656,16384,13218
241368,16384,9026
280024,16384,10625
376932,16384,14424
373656,16384,14177
238364,16384,8889
173340,8192,7238
334960,16384,12654
343012,16384,13043
285960,16384,10929
356484,16384,13404
132752,8192,5535
381164,16384,14507
362536,16384,13688
381696,16384,14576
381896,16384,14513
339216,16384,12814
361232,16384,13588
282248,16384,10784
176384,8192,7355
133004,8192,5587
366524,16384,13946
378256,16384,14434
339868,16384,12834
380732,16384,14490
222904,16384,8228
334468,16384,12619
132476,8192,5531
336780,16384,12632
374224,16384,14190
359104,16384,13551
384916,16384,14750
38048,2048,2006
176480,8192,7383
338740,16384,12769
371796,16384,14038
364856,16384,13801
135204,8192,5704
264480,16384,9928
177356,8192,7472
284404,16384,10797
289784,16384,11127
354912,16384,13335
341320,16384,12930
322944,16384,12132
357780,16384,13477
364500,16384,13761
378504,16384,14496
132792,8192,5561
76316,4096,3491
375916,16384,14281
338908,16384,12796
338492,16384,12756
230384,16384,8651
277728,16384,10525
330372,16384,12418
342732,16384,12978
157088,8192,6504
323288,16384,12164
362888,16384,13687
338880,16384,12800
360492,16384,13643
356548,16384,13409
330044,16384,12350
280832,16384,10682
176376,8192,7358
289700,16384,11125
375540,16384,14235
138000,8192,5839
342716,16384,13017
281120,16384,10684
373328,16384,14100
290856,16384,11223
358324,16384,13531
331520,16384,12436
245728,16384,9273
371656,16384,14035
310156,16384,11471
386688,16384,14811
367940,16384,14030
342792,16384,12998
177484,8192,7505
386448,16384,14815
333000,16384,12502
316416,16384,11708
282188,16384,10769
341060,16384,12892
367116,16384,13986
342892,16384,13034
327468,16384,12173
282180,16384,10784
171368,8192,7082
79784,4096,3673
367836,16384,13984
328416,16384,12264
372208,16384,14077
24956,2048,1256
381192,16384,14510
168180,8192,6973
342944,16384,13031
324148,16384,12219
120020,8192,4884
129408,8192,5379
177148,8192,7466
337208,16384,12687
289900,16384,11163
362328,16384,13640
376488,16384,14345
133080,8192,5578
157352,8192,6568
337232,16384,12698
289364,16384,11071
338856,16384,12778
343284,16384,13115
341100,16384,12887
372384,16384,14071
293536,16384,11335
328756,16384,12397
343032,16384,13049
177020,8192,7421
243800,16384,9152
75096,4096,3413
163876,8192,6708
284880,16384,10863
132848,8192,5546
287780,16384,10981
290164,16384,11165
156528,8192,6470
37604,2048,1956
384524,16384,14685
341116,16384,12944
289908,16384,11147
217960,16384,8004
363268,16384,13755
237052,16384,8831
344384,16384,13088
330904,16384,12448
337496,16384,12725
166244,8192,6893
155200,8192,6395
245944,16384,9261
168188,8192,6977
132644,8192,5561
374976,16384,14240
364916,16384,13773
355952,16384,13348
270576,16384,10254
329060,16384,12301
172504,8192,7153
131256,8192,5469
166448,8192,6868
342140,16384,12975
289748,16384,11139
289108,16384,11139
365548,16384,13834
382496,16384,14611
246080,16384,9312
278400,16384,10528
361496,16384,13633
326852,16384,12287
321264,16384,11979
366436,16384,13945
338648,16384,12757
174848,8192,7267
376032,16384,14333
366920,16384,13958
167832,8192,6940
353356,16384,13229
269624,16384,10184
336948,16384,12652
341284,16384,12937
113596,8192,4706
318036,16384,11788
290372,16384,11184
37844,2048,1972
173312,8192,7226
365184,16384,13882
365484,16384,13850
268232,16384,10140
340456,16384,12856
362456,16384,13682
381320,16384,14501
147496,8192,6009
339064,16384,12812
358088,16384,13494
318964,16384,11901
354200,16384,13265
342348,16384,12994
33152,2048,1711
287760,16384,10945
121536,8192,4956
357052,16384,13423
176412,8192,7378
278832,16384,10517
366952,16384,13953
333980,16384,12577
338940,16384,12800
329288,16384,12305
259784,16384,9698
341272,16384,12929
281304,16384,10681
334028,16384,12589
164272,8192,6747
329412,16384,12338
365244,16384,13863
163276,8192,6702
354036,16384,13244
176864,8192,7410
